title,0
Knock at the Cabin,3422.537
Plane,2618.646
Black Panther: Wakanda Forever,2525.408
Puss in Boots: The Last Wish,2078.28
A Man Called Otto,1545.382
Huesera: The Bone Woman,1436.445
Narvik,1383.465
Diabolik - Ginko all'attacco!,1164.949
Avatar: The Way of Water,1136.205
Shotgun Wedding,1043.225
Ant-Man and the Wasp: Quantumania,1032.078
M3GAN,1025.776
Creed III,994.465
Cocaine Bear,992.677
Transfusion,926.142
There Are No Saints,903.86
Black Adam,783.781
JUNG_E,711.941
The Whale,686.66
The Trip 6,610.333
Devotion,594.786
We Have a Ghost,560.336
Roald Dahl's Matilda the Musical,548.57
Unicorn Wars,535.524
Troll,533.668
Prey for the Devil,527.65
Choose or Die,521.956
Avatar,521.164
Blood,511.355
The Pale Blue Eye,454.802
The Offering,440.291
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,438.335
Glass Onion: A Knives Out Mystery,430.749
Sniper: The White Raven,418.74
Spider-Man: No Way Home,415.473
Violent Night,407.163
The Woman King,398.983
Babylon,397.966
Thor: Love and Thunder,394.087
Scream,386.685
Top Gun: Maverick,372.213
Guillermo del Toro's Pinocchio,364.579
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",363.431
Wolf Hound,355.664
Me contro Te: Il film - Persi nel tempo,353.813
The Batman,344.174
Terrifier 2,338.682
Battle: Freestyle,333.723
Creed II,329.063
Jurassic World Dominion,326.317
In the Forest,322.155
Jujutsu Kaisen 0,321.753
Creed,320.743
Strange World,318.312
Teen Wolf: The Movie,316.163
Beast,313.132
Missing,310.154
Avengers: Infinity War,309.28
Diary of a Wimpy Kid: Rodrick Rules,304.141
Dragon Ball Super: Super Hero,303.578
Bullet Train,302.905
Sonic the Hedgehog 2,297.805
Unlocked,296.766
Magic Mike's Last Dance,294.265
Disenchanted,293.51
Savage Salvation,290.461
Encanto,281.488
The Lair,269.353
Retirement Home,269.078
Hacksaw Ridge,269.007
Your Place or Mine,268.001
Project Gemini,266.364
Minions: The Rise of Gru,265.678
Prey,262.576
Queen of Spades,262.473
The Wrath of God,261.798
The Takeover,257.352
Doctor Strange in the Multiverse of Madness,255.096
Turning Red,249.16
The Big 4,248.11
